status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
"As President Obama walked into an expensive sushi restaurant to eat on vacation, even he was shocked by how the other customers reacted.",Sushi Patrons React To Obama Visit (Video),link,https://www.opposingviews.com/i/politics/president-obama-walked-expensive-restaurant-eat-vacation-even-he-was-shocked-how-other,12/30/16 14:30,16949,1256,1589,13746,2773,69,113,33,215
"When 2 teens broke into this home and shot a family dog, they probably should've checked to see if anyone else was inside with them. They learned the hard way.","Teens Rob Home, Kill Dog, Then Get Particularly Nasty Surprise",link,https://www.opposingviews.com/i/society/crime/teens-rob-home-kill-dog-then-get-particularly-nasty-surprise?fb=ov,12/30/16 14:00,124,12,8,81,3,14,4,16,6
"The photos were clear: the dog was lying there, with pain its eyes. The woman was behind him - clothes off. As soon as the police saw what she was doing, they moved in.",Police: Woman Arrested After Officials Sees What She's Doing To Dog In Images,link,https://www.opposingviews.com/i/society/crime/police-woman-arrested-after-officials-sees-what-shes-doing-dog-images?fb=ov,12/30/16 13:40,177,32,13,52,5,16,0,5,99
"This young woman's boyfriend received a picture of her bound and bloody, and he immediately contacted the authorities. Days later, he found her on the street beaten and bloodied up. She told police what happened: 4 men kidnapped and raped her. The cops quickly launched an investigation - and that's when they made a disturbing discovery.",Police Make Disturbing Discovery While Investigating Girl's Vicious Attack,link,http://www.americanow.com/story/crime/2016/12/29/police-make-disturbing-discovery-while-investigating-girls-vicious-attack?fb=ov,12/30/16 13:20,63,15,5,37,2,11,1,2,10
"Remember the twins who spend every minute together, sleep in the same bed, use the same phone, have the same hairstyle, eat the same diet, etc? Well, now they want to share one more thing that nobody saw coming.",Twins Reveal Plans To Take Things A Step Further (Video),link,https://www.opposingviews.com/i/society/twins-who-shared-boyfriend-reveal-plans-marry-him?cb=906386,12/30/16 13:00,129,91,25,93,2,17,13,3,1
"All Luna wanted was a snack. She was hungry, and she begged her stepdad to give her something to eat. He refused, and she was upset. That should have been the end of it - but he decided to make sure she never asked again.","Stepdaughter Asks For A Snack, Dad's Response Could Put Him In Prison For Life",link,https://www.opposingviews.com/i/society/crime/girl-asks-stepdad-snack-he-responds-stabbing-her-death-and-lighting-her-body-fire?cb=185366,12/30/16 12:30,759,236,151,182,2,7,0,152,416
"Just yesterday Trump celebrated because 5,000 jobs were coming back to the U.S. because of him. Well, about that...","Just Yesterday, Trump Claimed 5,000 Jobs Are Coming Back To The U.S. Because Of Him. Well, Bad News.",link,https://www.opposingviews.com/i/politics/trump-falsely-claims-credit-5000-sprint-jobs?fb=ov,12/30/16 12:21,249,169,49,162,7,4,44,2,30
"When this woman caught her ex-boyfriend kissing her mother, she decided to take revenge into her own hands.","Woman Sees Ex-Boyfriend Kissing Her Mother, Loses All Control",link,https://www.opposingviews.com/i/society/crime/woman-catches-ex-boyfriend-kissing-her-mother-then-beats-him?cb=64875,12/30/16 12:00,33,15,3,16,3,13,1,0,0
Carrie Fisher and Debbie Reynolds had one serious warning for Fisher's daughter before their deaths.,Billie Lourd Warned By Mom And Grandmother Before Their Deaths,link,https://www.opposingviews.com/i/society/carrie-fisher-and-debbie-reynolds-had-one-serious-warning-fishers-daughter-their-deaths?cb=503054,12/30/16 11:30,165,1,12,127,3,12,0,23,0
The initial autopsy for George Michael just yielded some unexpected results.,Shocking Autopsy Results For George Michael,link,https://www.opposingviews.com/i/society/george-michaels-initial-autopsy-findings-are-shocking?cb=26994,12/30/16 11:01,158,61,22,94,2,14,2,46,0
"When this Uber driver picked up a young teen and two guys, he had a feeling something wasn't right. As he drove and listened to their conversation, he began to get really concerned. The second he saw where was dropping them off, however, he decided to take matters into his own hands.",Uber Driver Makes Disturbing Discovery About Teen Passenger,link,https://www.opposingviews.com/i/society/crime/when-uber-driver-picked-young-teen-and-two-guys-he-had-feeling-something-wasnt-right?cb=501627,12/30/16 10:00,253,10,35,210,21,15,0,4,3
This man's license plate spells out a secret message that's banned by the DMV. Look closer.,License Plate Contains Secret Message Banned By DMV; Look Closer (Photo),link,http://www.americanow.com/story/society/2016/12/30/license-plate-contains-secret-message-banned-dmv-look-closer-photo?fb=ovThis,12/30/16 9:40,219,24,30,127,5,14,72,0,1
"This teenage dad walked up to his 3-year-old son, put a gun to his head and pulled the trigger. When the police discovered why he did it, they realized they were dealing with a true monster.","Officials Stunned To Discover Why Teen Walked Up To 3-Year-Old, Shot Him In The Head",link,https://www.opposingviews.com/i/society/crime/officials-stunned-discover-why-teen-walked-3-year-old-shot-him-head?fb=ov,12/30/16 9:20,659,82,179,113,1,12,0,125,408
"A Hooters agreed to take a very wholesome, nice picture next to a homeless man. As she was moving way, she saw him reach into his pocket. She wasn't prepared for what happened next.","Waitress Takes Pic With Homeless Man, Gets Ready To Leave, Then Notices Him Reaching In His Pocket",link,https://www.opposingviews.com/i/society/waitress-takes-pic-homeless-man-gets-ready-leave-then-notices-him-reaching-his-pocket?fb=ov,12/30/16 9:00,1153,28,282,949,176,21,2,5,0
This man's dog ate her own puppies alive. That's not even the worst part of the whole thing. What he did to make the dog do that is beyond understanding.,"Dog Eats Her Own Puppies Alive, Man Arrested When Police Find Out Why",link,https://www.opposingviews.com/i/society/animal-rights/mans-dog-ate-her-own-puppies-alive-thats-not-even-worst-part-whole-thing?cb=115500,12/30/16 8:30,1024,232,202,144,6,13,0,159,702
"This woman noticed her foot begin to swell, but she ignored it at first. Finally, it got to the point where it was too big to ignore, so she went to the doctor. It didn't take them long to figure out what the problem was.","Woman Visits Doctor For Swollen Foot, Gets Biggest Shock Of Her Life (Photos)",link,https://www.opposingviews.com/i/health/woman-visits-doctor-swollen-foot-gets-biggest-shock-her-life-photos?fb=ov,12/30/16 8:00,130,7,23,78,3,32,0,16,1
These folks became very upset over the name of Ben & Jerry's new ice cream flavor and demanded it be changed. Ben & Jerry's response: Get over it.,"Family Outraged By Ice Cream Flavor, Ben & Jerry's Response: Too Bad, Get Over It; Here's The Flavor",link,http://www.americanow.com/story/society/2016/12/30/family-outraged-ice-cream-flavor-ben-jerrys-response-too-bad-get-over-it?fb=ov,12/30/16 7:20,212,163,23,135,3,15,53,4,2
"A man raped his 11- and 14-year-old daughters multiple times. When one of them finally spoke out about the abuse, they made a horrific discovery.","Dad Rapes Daughters, They Realize He Left Them With Something Horrible To Remember Him By",link,https://www.opposingviews.com/i/society/crime/dad-rapes-daughters-they-realize-he-left-them-something-horrible-remember-him?fb=ov,12/30/16 7:00,412,36,28,69,3,3,0,76,261
"The police were called to the woman's home for the ridiculous amount of pets she had. However, when they got there, they were stunned at what they found.","Police Find Trail Of Blood Coming From Home Of Woman Who Owned 50 Pets, Make Horrific Discovery",link,https://www.opposingviews.com/i/society/animal-rights/police-find-trail-blood-coming-home-woman-who-owned-50-pets-make-horrific?fb=ov,12/30/16 6:30,62,1,10,24,0,12,0,21,5
GOP Rep. Trent Franks says Russia's hacks simply exposed information the media refused to cover. Is he right?,GOP Lawmaker: Russian Hacks Were A Public Service,link,https://www.opposingviews.com/i/politics/rep-trent-frank-russia-hack-exposed-what-media-should-have-reported?fb=ov,12/30/16 1:15,1894,714,257,1629,55,21,68,6,115
Israel's ambassador to America just shared some extremely harsh words on President Obama. Do you agree with what he said?,Israeli Ambassador: Obama 'Being Outrageous',link,https://www.opposingviews.com/i/politics/israeli-ambassador-obama-being-outrageous?fb=ov,12/30/16 0:45,566,350,49,441,21,5,13,5,81
Trump says it's time to move on from the Russian hacking allegations. Do you agree? Or is it important to get to the bottom of this?,Trump On Russia: 'We Ought To Get On With Our Lives',link,http://www.americanow.com/story/politics/2016/12/29/trump-russia-we-ought-get-our-lives?fb=ov,12/30/16 0:10,1752,1266,156,1471,59,17,27,11,167
Sarah Palin was voted one of the 10 most admired women in America in this year's Gallup poll. Do you admire her?,Timeline Photos,photo,https://www.facebook.com/opposingviews/photos/a.92094656050.96503.34226391050/10154385476916051/?type=3,12/29/16 23:35,27097,9028,1741,23141,1467,117,1879,107,386
A rescue dog just got to pick out her very first toy. Watching her carefully choose which one to take is absolutely heartwarming:,,video,https://www.facebook.com/opposingviews/videos/10154385456786051/,12/29/16 23:00,4569,135,1452,3674,854,23,14,2,2
"A California police officer found a young homeless girl living out of a car with her mom. What he did next is going viral, and for good reason:",,video,https://www.facebook.com/opposingviews/videos/10154385400801051/,12/29/16 22:25,9004,183,3110,8033,897,49,16,7,2
"When U.S. Marine Jeremy Cooney returned from Afghanistan, he wasn't greeted with a celebration or any huge crowds. Instead, his young son with cerebral palsy treated him to a memory he'll treasure forever:",,video,https://www.facebook.com/opposingviews/videos/10154385395446051/,12/29/16 22:00,10236,472,2681,8184,1805,60,7,179,1
"Cheer up, everyone: The Cubs won the world series!Here are all the reasons 2016 was actually a pretty great year:",,video,https://www.facebook.com/opposingviews/videos/10154385362981051/,12/29/16 21:30,158,40,123,143,5,4,6,0,0
A young woman went to a wedding and thought she brought a very nice gift for the bride and groom. Then she got this email.,Woman Stunned By Email She Got From Newlyweds Over Gift,link,http://www.cookingpanda.com/story/trending/2016/12/29/woman-stunned-email-she-got-newlyweds-over-gift?fb=wtThis,12/29/16 21:00,349,190,51,112,2,99,5,10,121
"Residents here heard this elderly couple weeping softly in their home. First it was quiet. Then it got a little louder. Finally, they called the police. It didn't take the police long to discover what happened.","Police Arrive To Investigate Report Of Elderly Couple Crying, Immediately Find Out What Happened",link,http://www.americanow.com/story/society/2016/10/25/cops-arrive-investigate-report-elderly-couple-crying-quickly-discover-what?fb=abc,12/29/16 20:30,373,18,129,260,79,6,0,28,0
"This mom and dad demand justice for what happened to their baby. The court's response: No. When the parents heard why, they couldn't believe their ears. Do you think the justice system failed this family?","Mom And Dad Want Justice For What Happened To Their Baby, Get Rejected For Odd Reason",link,http://www.americanow.com/story/society/2016/10/06/mom-and-dad-want-justice-what-happened-their-baby-get-rejected-odd-reason?fb=abc,12/29/16 20:00,1314,255,442,337,6,23,1,223,724
"When this 5-year-old boy came home from school looking like this, his horrified mom demanded answers. As soon as she got them, her horror turned to outrage.",Mother Outraged After Discovering What Happened To 5-Year-Old Boy At Daycare,link,http://www.americanow.com/story/society/2016/10/03/mother-outraged-after-discovering-what-happened-5-year-old-boy-daycare?fb=abc,12/29/16 19:30,384,25,41,120,2,17,0,36,209
"After hearing what the pilot said, the passengers broke down in tears.",Flight Attendant Gives Bad News To Pilot - His Response Leaves Passengers In Tears,link,http://www.americanow.com/story/social/2016/10/28/captain-stops-plane-commemorate-fallen-soldier?fb=abc,12/29/16 19:00,416,10,81,313,63,5,0,35,0
"Comedian DL Hugley thought it'd be funny to make this joke about Carrie Fisher and Debbie Reynolds' deaths. Nobody else thought it was funny. Now, he's coming under serious fire.",D.L. Hughley Under Fire For This Joke About Debbie Reynolds,link,https://www.opposingviews.com/i/social/comedian-dl-hughley-thought-itd-be-funny-make-joke-about-carrie-fisher-and-debbie-reynolds,12/29/16 17:49,324,293,33,114,4,12,7,27,160
The little girl never saw it coming.,"Little Girl Was Simply Riding Her Bike, Then Biker Gang Pulls Up And Says This (Video)",link,http://www.americanow.com/story/society/2016/10/25/motorcycle-club-learns-about-little-girls-bullies-takes-action?fb=abc,12/29/16 17:00,663,27,209,546,93,22,0,1,1
"This man was angry about his speeding ticket, so he paid the fine with 22,000 pennies.",,video,https://www.facebook.com/opposingviews/videos/10154385045561051/,12/29/16 16:30,3459,461,1517,2505,169,55,708,2,20
"For more than 2 years, this man had horrific abdominal pain and vomiting. Not a single doctor he saw could figure out what was wrong with him. Finally, one ER doctor asked him this simple question that explained everything: ""Do you take hot showers?","Man Suffers Intense Abdominal Pain For 2 Years, It All Changes When Doc Asks If He Takes Showers",link,https://www.opposingviews.com/i/health/more-2-years-man-had-horrific-abdominal-pain-and-vomiting-not-single-doctor-he-saw-could,12/29/16 16:00,301,40,295,202,6,75,16,2,0
